added money,本賞金
lame,跛行
lazy,ずぶい
lead pad,鉛ゼッケン
leader,先頭を走っている馬
left at post,発走出遅れ
left-handed,左回り
length,（着差の）馬身
lip chain,リップチェーン
liver chestnut,栃栗毛
long shot,大穴
look around,物見する
loose horse,放馬
lose (cast)  a shoe,落鉄する
lug in,内にもたれる
lug out,外にもたれる
maiden,未出走、未勝利
male,牡
mare,５歳以上の牝馬
margin,着差
martingale,マルタンガール
medication,薬物
mile,"マイル（1,609m）"
mount,騎乗
neck,クビ
nomination,登録
non-runner,出走取消、競走除外又は裁決委員が競走に参加しなかったと見なした馬（いわゆるノンランナー、ノンスターター）
non-starter,出走取消、競走除外又は裁決委員が競走に参加しなかったと見なした馬（いわゆるノンランナー、ノンスターター）
nose,ハナ
nose band,鼻革
number cloth,番号ゼッケン
oats,燕麦
objection,走行妨害申立て
odds,オッズ
odds-on favorite,有力な本命馬
off-track betting[OTB] facility,場外勝馬投票券発売所
official,着順確定
order of finish,到達順位
outbreeding,異系交配
outside rail,外ラチ
outsider,人気薄の馬、穴馬
over weight,重量超過
owner,馬主
ownership,所有権
pace,ペース
pacemaker,ペースメーカー
pacifier,パシファイアー
paddock,パドック、下見所
parade ring,パドック、下見所
pari-mutuel betting,パリミュチュエル方式勝馬投票
past performance,過去競走成績
payoff,配当金
penalty,"（１）(負担重量の)増量
（２）罰則"
photo finish,写真判定
pick 5,ＷＩＮ５
place,複勝
placed,入着馬
post position,ゲート番
post position draw,枠順抽選
post time,発走時刻
prize money,賞金（総額）
prohibited substance,禁止薬物
protector,プロテクター
provisional,暫定着順（確定前入線順位）
pull,引っ張る
pull-up,競走中止
punter,投票券購入者
purse,賞金（総額）
qualification,資格
quarantine,検疫
quinella,馬連
quinella place,ワイド
race,競走
race card,出馬表
race condition,競走条件
race meeting,競馬開催
racecourse,競馬場
racegoer,競馬場来場者
racetrack,競馬場
racing calendar,開催日割
racing colo(u)rs,勝負服
racing plate,蹄鉄
reins,手綱
remount,再騎乗
reprimand,戒告
reserved,補欠馬
reserved seat,指定席
result,結果、成績
right-handed,右回り
round the course,一周する
rug,馬服
rules of racing,競馬施行規程
runner,出走馬
runner-up,２着馬
ryegrass,ライグラス
(feed) supplement,添加飼料、サプリメント
saddle,鞍
saddle cloth,鞍下ゼッケン
saddling,装鞍
saddling enclosure,装鞍所
safety vest,プロテクター
sample,検体
schooling,スクーリング、事前下見
scratch,出走取消、競走除外
second choice,対抗
second dam,母の母
sex,性
shadow roll,シャドーロール
shipment,輸送
shipping,輸送
short head,短アタマ
short neck,短クビ
show,複勝
silks,勝負服
simulcast,サイマルキャスト（勝馬投票を伴う海外競走ライブ放映）
sire,父
skull cap,保護帽、ヘルメット
soft,重
sprinter,短距離馬
stable,厩舎、馬舎
stable area,厩舎地区
stakes money,付加賞
stall,馬房
stallion ,種馬
stand-by,補欠馬
starter,出走馬
starting stalls,スターティングゲート、発馬機
stayer,長距離馬
steeplechase,障害
steward,裁決委員
stick,ムチ
stirrup,鐙
straw,わら
stumble,つまずく
supplement,追加登録
surcingle,上腹帯
suspension,騎乗停止
synthetic surface,人工素材馬場
(bowed) tendon,屈腱炎
tack,馬具
tendinitis,屈腱炎
they're off,スタートしました
tierce,３連単
tip,予想
tongue tie,舌縛り
totalisator,トータリゼータ（発売金集計）
track condition,馬場状態
track surface,馬場（表面素材）
trainer,調教師
training,調教
training track,調教場
training yard,調教場
travelling head lad,遠征主任
treatment,治療
trifecta,３連単
trio,３連複
trot,トロット、速歩（はやあし）
turf,芝
turn,コーナー
turnover,発売金
unofficial result,暫定着順（確定前入線順位）
unplaced,着外馬
unruly horse,悪癖馬
vaccination,ワクチン接種
veterinarian,獣医師
veterinary clinic,競走馬診療所
walk,常歩（なみあし）
warm up,返し馬
water drainage,水はけ
weigh-in,後検量
weigh-out,前検量
weighing room,検量室
weight (to carry),負担重量
weight for age,年齢アローワンスに基づく定量
whip,ムチ
white,白毛
win,単勝
winner,１着馬
winning post,決勝線
withdrawn,出走取消、競走除外
wood shavings,ウッドシェービング
work,調教、運動
work rider,攻馬手
workout,追い切り
yearling,１歳馬
yielding,重
